,modelo,image_id,bleu_4,meteor,spice,cider-d,spice-pt
0,qwen,26c9f2ad-efd9-4d93-abd6-f5c35b2c7a3a,0.7572269926627302,0.4463866999889219,0.06486486486486487,0.0,0.039774610540271794
1,qwen,2966dd41-b32d-4b51-a69a-dc9a9dd755df,0.854226977550185,0.32592520360237637,0.04663212435233161,0.0,0.011519078473722102
2,qwen,5b14269e-807a-4b3d-b652-e0036bde4418,0.767838074285836,0.3757841496799995,0.010610079575596818,0.0,0.031862217438105495
3,qwen,687e0132-7f8e-4c35-ba2c-b66d59c7365a,0.8551033094357965,0.5003418941261332,0.10420168067226891,0.0,0.04449862846693082
4,qwen,9f52f1ff-67e3-443a-ad59-1e987a5438e6,0.8770768235322126,0.619834014335783,0.20771513353115728,0.0,0.05044218801179168
5,qwen,a43d8a7e-1c81-4b9d-b527-2369584d5110,0.6272143941416606,0.2422625288800596,0.11666666666666667,0.0,0.09429824561403509
6,qwen,b22100ba-f165-4bb0-8862-d5a09e31b54f,0.9208958338992121,0.570367910511469,0.25742574257425743,0.0,0.18893129770992365
7,qwen,fead8dc8-c6cd-4ab5-88d0-af8955c0bd70,0.8609875743687847,0.5013317149185028,0.11764705882352941,0.0,0.06176961602671119
8,llava,26c9f2ad-efd9-4d93-abd6-f5c35b2c7a3a,0.25212909110743925,0.24530756132511816,0.07425742574257425,0.0,0.0005119017148707449
9,llava,2966dd41-b32d-4b51-a69a-dc9a9dd755df,0.2900064640714458,0.21136473665941538,0.010075566750629724,0.0,0.03791469194312796
10,llava,5b14269e-807a-4b3d-b652-e0036bde4418,0.2621397340739113,0.29206174110984523,0.023980815347721823,0.0,0.006773920406435223
11,llava,687e0132-7f8e-4c35-ba2c-b66d59c7365a,0.4516649026152942,0.23878279297225347,0.11580594679186229,0.0,0.009661835748792268
12,llava,9f52f1ff-67e3-443a-ad59-1e987a5438e6,0.21652514562085826,0.22798419266296346,0.033707865168539325,0.0,0.019398642095053348
13,llava,a43d8a7e-1c81-4b9d-b527-2369584d5110,0.5370219357683266,0.43559506889891975,0.16256157635467983,0.0,0.021052631578947368
14,llava,b22100ba-f165-4bb0-8862-d5a09e31b54f,0.2125438872534033,0.2697665418530797,0.06818181818181818,0.0,0.0015614326144237339
15,llava,fead8dc8-c6cd-4ab5-88d0-af8955c0bd70,0.29243291884070094,0.21510500037891883,0.08225108225108224,0.0,0.00319744204636291
