,id,modelo,score
0,687e0132-7f8e-4c35-ba2c-b66d59c7365a,qwen,1.0
1,687e0132-7f8e-4c35-ba2c-b66d59c7365a,llava,0.0
2,5b14269e-807a-4b3d-b652-e0036bde4418,qwen,0.6666666666666666
3,5b14269e-807a-4b3d-b652-e0036bde4418,llava,0.3333333333333333
4,26c9f2ad-efd9-4d93-abd6-f5c35b2c7a3a,qwen,1.0
5,26c9f2ad-efd9-4d93-abd6-f5c35b2c7a3a,llava,0.0
6,fead8dc8-c6cd-4ab5-88d0-af8955c0bd70,qwen,1.0
7,fead8dc8-c6cd-4ab5-88d0-af8955c0bd70,llava,0.0
8,a43d8a7e-1c81-4b9d-b527-2369584d5110,qwen,0.6666666666666666
9,a43d8a7e-1c81-4b9d-b527-2369584d5110,llava,0.3333333333333333
10,b22100ba-f165-4bb0-8862-d5a09e31b54f,qwen,1.0
11,b22100ba-f165-4bb0-8862-d5a09e31b54f,llava,0.0
12,2966dd41-b32d-4b51-a69a-dc9a9dd755df,qwen,1.0
13,2966dd41-b32d-4b51-a69a-dc9a9dd755df,llava,0.0
14,9f52f1ff-67e3-443a-ad59-1e987a5438e6,qwen,0.8333333333333334
15,9f52f1ff-67e3-443a-ad59-1e987a5438e6,llava,0.16666666666666666
